,year,name,id,age,ioc,height,hand,high_rank,high_pts,tourney_plyd,tourney_win_pct,avg_tourney_level,matches_plyd,match_wins,match_win_pct,finals,titles,final_win_pct,slam_finals,slams,atp_finals_finals,atp_finals,masters_finals,masters,500_finals,500_titles,250_finals,250_titles,olympic_g,aces_per_game,df_per_game,sv_game_win_pct,return_game_win_pct,1st_pct,1st_win_pct,2nd_win_pct,1st_return_win_pct,2nd_return_win_pct,bp_per_game,bp_faced_per_game,bp_conversion_rate,bp_saved_rate,tb_win_pct,no1_faced,no1_win_pct,top_5_faced,top_5_win_pct,top_10_faced,top_10_win_pct,top_20_faced,top_20_win_pct,top_50_faced,top_50_win_pct,top_100_faced,top_100_win_pct,matches_w_stats,matches_w_minutes,avg_opponent_rank,avg_opponent_pts,sets_w_stats,sets_w_mins,minutes_per_match,minutes_per_set
11,1991-2023,David Goffin,105676,30.5,BEL,180.0,R,282.0,168.0,2,0.0,250.0,5,0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.7631578947368421,0.34210526315789475,0.7631578947368421,0.0,0.6,0.672316384180791,0.4322033898305085,0.16,0.35,0.12195121951219512,0.9210526315789473,0.0,0.7428571428571429,0.0,0,,0,,0,,0,,2,0.0,5,0.0,4,3,60.8,977.2,8,6,69.33333333333333,34.666666666666664
12,1991-2023,Agustin Calleri,102860,32.6,ARG,183.0,R,16.0,1375.0,187,0.016042780748663103,758.0213903743315,396,209,0.5277777777777778,9,3,0.3333333333333333,0,0,0,0,1,0,2,2,6,1,0,0.5761200521966072,0.2836015658982166,0.7877337973031753,0.24175824175824176,0.5534377127297482,0.7440344403444035,0.49847560975609756,0.30636655249279615,0.5061321153683498,0.6048265460030166,0.535450195737277,0.39971499821873885,0.6035743298131601,0.484472049689441,2,0.5,16,0.375,39,0.28205128205128205,75,0.3466666666666667,181,0.4198895027624309,313,0.48242811501597443,381,380,80.80952380952381,911.8220551378446,967,964,102.76842105263158,40.510373443983404
13,1991-2023,Aisam Ul Haq Qureshi,103529,41.9,PAK,183.0,R,,,10,0.0,600.0,72,40,0.5555555555555556,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.9419354838709677,0.3741935483870968,0.8612903225806452,0.12171052631578948,0.6084275436793423,0.793918918918919,0.49343832020997375,0.223267750213858,0.4435590969455511,0.375,0.3870967741935484,0.32456140350877194,0.6416666666666667,0.5306122448979592,0,,0,,0,,2,0.5,10,0.3,13,0.23076923076923078,23,23,420.041095890411,243.53424657534248,60,60,122.78260869565217,47.06666666666667
14,1991-2023,Aki Rahunen,102000,20.0,FIN,175.0,R,62.0,513.0,19,0.0,736.8421052631579,30,10,0.3333333333333333,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.10740740740740741,0.32222222222222224,0.6,0.24,0.5836120401337793,0.609360076408787,0.4457831325301205,0.3149448345035105,0.48677248677248675,0.5745454545454546,0.8296296296296296,0.4177215189873418,0.5178571428571429,0.3333333333333333,0,,1,0.0,1,0.0,3,0.0,7,0.14285714285714285,19,0.2631578947368421,25,25,143.3,468.73333333333335,61,61,90.88,37.24590163934426
15,1991-2023,Akira Santillan,117361,20.1,AUS,180.0,R,163.0,341.0,7,0.0,250.0,9,2,0.2222222222222222,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.5111111111111111,0.26666666666666666,0.7444444444444445,0.1839080459770115,0.5352622061482821,0.6993243243243243,0.5136186770428015,0.25333333333333335,0.462882096069869,0.4482758620689655,0.4666666666666667,0.41025641025641024,0.4523809523809524,0.0,0,,0,,0,,1,0.0,1,0.0,4,0.0,9,9,107.44444444444444,718.8888888888889,20,20,71.11111111111111,32.0
16,1991-2023,Alan Mackin,103820,24.9,GBR,183.0,R,218.0,180.0,11,0.0,1045.4545454545455,15,1,0.06666666666666667,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.17687074829931973,0.29931972789115646,0.5918367346938775,0.14864864864864866,0.6568627450980392,0.6164179104477612,0.4057142857142857,0.24912891986062718,0.4648648648648649,0.38513513513513514,0.9047619047619048,0.38596491228070173,0.5488721804511278,0.5,1,0.0,1,0.0,1,0.0,2,0.0,5,0.0,13,0.0,11,11,94.93333333333334,1069.2666666666667,31,31,113.0,40.096774193548384
17,1991-2023,Albano Olivetti,105874,22.1,FRA,203.0,R,161.0,340.0,9,0.0,833.3333333333334,14,5,0.35714285714285715,0,0,,0,0,0,0,0,0,0,0,0,0,0,1.346938775510204,0.4336734693877551,0.8367346938775511,0.05612244897959184,0.5724755700325733,0.8036984352773826,0.49142857142857144,0.18766404199475065,0.41102756892230574,0.23979591836734693,0.47959183673469385,0.23404255319148937,0.6595744680851063,0.6,0,,0,,2,0.5,2,0.5,4,0.25,10,0.4,14,14,84.35714285714286,977.2142857142857,37,37,104.0,39.351351351351354
18,1991-2023,Albert Chang,101865,24.4,CAN,183.0,R,148.0,310.0,17,0.0,676.4705882352941,25,7,0.28,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.3295880149812734,0.299625468164794,0.7265917602996255,0.16104868913857678,0.6235431235431236,0.6869158878504673,0.4674922600619195,0.2743961352657005,0.44525547445255476,0.44569288389513106,0.6292134831460674,0.36134453781512604,0.5654761904761905,0.2,0,,1,0.0,4,0.25,6,0.16666666666666666,8,0.25,13,0.23076923076923078,23,22,174.0,883.32,57,55,92.63636363636364,37.054545454545455
19,1991-2023,Albert Costa,102610,30.8,ESP,180.0,R,6.0,2385.0,280,0.04642857142857143,752.6785714285714,658,385,0.5851063829787234,22,13,0.5909090909090909,1,1,0,0,3,1,4,2,14,9,0,0.2877069482466432,0.16986051362273497,0.7760396297744753,0.26770519701531614,0.6681080644183556,0.6756290829905638,0.5217047184170471,0.3058990612768021,0.5176253198142708,0.6533577693415369,0.5645939251727284,0.40973752754958925,0.6033248672362042,0.508695652173913,7,0.14285714285714285,39,0.3076923076923077,80,0.35,130,0.4076923076923077,311,0.5144694533762058,518,0.5501930501930502,635,626,72.19788519637463,1017.4123867069486,1617,1584,101.34664536741214,40.05239898989899
20,1991-2023,Albert Montanes,103656,36.4,ESP,175.0,R,22.0,1770.0,293,0.020477815699658702,720.1365187713311,542,255,0.470479704797048,11,6,0.5454545454545454,0,0,0,0,0,0,1,0,10,6,0,0.2929998375832386,0.27594607763521195,0.7461426019165178,0.2235994848679974,0.6036594586420686,0.6906312625250501,0.4945949383187079,0.2886740911956293,0.4963592233009709,0.56809401159047,0.6082507714796167,0.39359591952394446,0.5826435246995995,0.5054347826086957,6,0.16666666666666666,23,0.08695652173913043,42,0.11904761904761904,90,0.18888888888888888,225,0.28,415,0.3855421686746988,538,533,80.97610294117646,1137.4724264705883,1332,1321,96.79549718574108,39.0552611657835
