,year,name,id,age,ioc,height,hand,high_rank,high_pts,tourney_plyd,tourney_win_pct,avg_tourney_level,matches_plyd,match_wins,match_win_pct,finals,titles,final_win_pct,slam_finals,slams,atp_finals_finals,atp_finals,masters_finals,masters,500_finals,500_titles,250_finals,250_titles,olympic_g,aces_per_game,df_per_game,sv_game_win_pct,return_game_win_pct,1st_pct,1st_win_pct,2nd_win_pct,1st_return_win_pct,2nd_return_win_pct,bp_per_game,bp_faced_per_game,bp_conversion_rate,bp_saved_rate,tb_win_pct,no1_faced,no1_win_pct,top_5_faced,top_5_win_pct,top_10_faced,top_10_win_pct,top_20_faced,top_20_win_pct,top_50_faced,top_50_win_pct,top_100_faced,top_100_win_pct,matches_w_stats,matches_w_minutes,avg_opponent_rank,avg_opponent_pts,sets_w_stats,sets_w_mins,minutes_per_match,minutes_per_set
321,1990-2021,Dennis Novak,110602,28.1,AUT,183.0,R,85.0,785.0,39,0.0,705.1282051282051,69,24,0.34782608695652173,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.36678200692041524,0.21453287197231835,0.7370242214532872,0.1914648212226067,0.6430736316633981,0.6753534793457167,0.492007992007992,0.25945784927018173,0.5021357380161366,0.5051903114186851,0.6020761245674741,0.3789954337899543,0.5632183908045977,0.40540540540540543,1,0.0,2,0.0,3,0.0,10,0.2,24,0.2916666666666667,49,0.2857142857142857,68,64,112.8840579710145,1209.7826086956522,179,168,106.390625,40.529761904761905
322,1990-2021,Dennis Novikov,106261,23.6,USA,193.0,R,128.0,453.0,11,0.0,772.7272727272727,16,5,0.3125,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.6859903381642513,0.30917874396135264,0.8115942028985508,0.15942028985507245,0.5459297983569829,0.7264021887824897,0.5131578947368421,0.23915737298636927,0.4922737306843267,0.4492753623188406,0.4782608695652174,0.3548387096774194,0.6060606060606061,0.3333333333333333,0,,0,,1,0.0,1,0.0,5,0.2,11,0.18181818181818182,16,16,108.1875,941.0625,42,42,94.125,35.857142857142854
323,1990-2021,Dennis Van Scheppingen,102615,31.6,NED,185.0,R,72.0,552.0,73,0.0,534.2465753424658,115,42,0.3652173913043478,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.3180428134556575,0.35397553516819574,0.7270642201834863,0.18820861678004536,0.585783746237555,0.6956521739130435,0.4714924538848519,0.27876106194690264,0.48462383305875895,0.5253212396069539,0.6314984709480123,0.35827338129496406,0.5677966101694916,0.40384615384615385,0,,3,0.0,8,0.0,18,0.16666666666666666,39,0.1794871794871795,81,0.32098765432098764,113,110,84.44827586206897,846.8965517241379,273,266,86.13636363636364,35.6203007518797
324,1990-2021,Derrick Rostagno,101196,30.6,USA,185.0,R,14.0,,103,0.009708737864077669,776.6990291262136,216,112,0.5185185185185185,3,1,0.3333333333333333,0,0,0,0,0,0,2,1,1,0,0,0.45013979496738116,0.27912395153774466,0.766542404473439,0.23793911007025761,0.6121729318005501,0.7085253456221198,0.47535915621022,0.30132293881407984,0.5072875933167437,0.6037470725995316,0.5768872320596459,0.39410395655546937,0.5953150242326333,0.45263157894736844,4,0.25,16,0.25,26,0.3076923076923077,43,0.32558139534883723,85,0.43529411764705883,146,0.4863013698630137,172,166,86.0925925925926,737.1481481481482,447,427,100.21686746987952,38.960187353629976
325,1990-2021,Devin Mullings,104618,23.7,BAH,168.0,L,941.0,14.0,1,0.0,1500.0,14,6,0.42857142857142855,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.42857142857142855,0.2857142857142857,0.0,0.7169811320754716,0.47368421052631576,0.3333333333333333,0.16,0.43478260869565216,0.5714285714285714,1.7142857142857142,0.0,0.5833333333333334,0.25,0,,0,,0,,0,,0,,1,0.0,1,1,295.42857142857144,108.57142857142857,2,2,60.0,30.0
326,1990-2021,Di Wu,105842,28.0,CHN,175.0,R,169.0,324.0,20,0.0,837.5,54,21,0.3888888888888889,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.20053475935828877,0.21390374331550802,0.6336898395721925,0.2064343163538874,0.5961080222398729,0.6215856095936043,0.46607669616519176,0.27317763623496105,0.49942594718714123,0.5281501340482574,0.8181818181818182,0.39086294416243655,0.5522875816993464,0.5,0,,0,,2,0.0,6,0.0,17,0.11764705882352941,29,0.1724137931034483,32,29,170.22222222222223,780.4074074074074,80,73,97.65517241379311,38.794520547945204
327,1990-2021,Dick Norman,101868,38.2,BEL,203.0,L,90.0,442.0,66,0.0,685.6060606060606,99,30,0.30303030303030304,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.7744360902255639,0.4619883040935672,0.7994987468671679,0.1264559068219634,0.5993670886075949,0.7376979936642027,0.48056872037914694,0.23725446921209445,0.4448938321536906,0.38186356073211314,0.5497076023391813,0.3311546840958606,0.6352583586626139,0.38181818181818183,2,0.0,6,0.0,10,0.0,19,0.10526315789473684,40,0.175,68,0.23529411764705882,93,92,109.05050505050505,870.3636363636364,244,241,98.21739130434783,37.49377593360996
328,1990-2021,Didac Perez,103837,20.6,ESP,178.0,R,162.0,230.0,6,0.0,666.6666666666666,7,1,0.14285714285714285,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.15294117647058825,0.3411764705882353,0.5882352941176471,0.18072289156626506,0.6275992438563327,0.6325301204819277,0.4365482233502538,0.3114754098360656,0.4180327868852459,0.5421686746987951,0.7294117647058823,0.3333333333333333,0.43548387096774194,0.6666666666666666,0,,0,,0,,0,,1,0.0,4,0.25,7,6,97.28571428571429,581.8571428571429,18,16,103.33333333333333,38.75
329,1990-2021,Diego Hartfield,103701,27.0,ARG,185.0,R,73.0,523.0,28,0.0,607.1428571428571,46,18,0.391304347826087,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.3287671232876712,0.24853228962818003,0.7240704500978474,0.21923076923076923,0.6504161712247325,0.6563071297989032,0.4812925170068027,0.2988399071925754,0.5071590052750565,0.6480769230769231,0.639921722113503,0.33827893175074186,0.5688073394495413,0.3888888888888889,2,0.0,2,0.0,2,0.0,7,0.14285714285714285,21,0.2857142857142857,33,0.3939393939393939,43,43,75.51063829787235,965.1914893617021,106,106,108.90697674418605,44.179245283018865
330,1990-2021,Diego Junqueira,103675,31.0,ARG,178.0,L,68.0,1094.0,33,0.0,606.060606060606,44,11,0.25,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.09649122807017543,0.17763157894736842,0.5921052631578947,0.21982758620689655,0.6845683208701564,0.5789473684210527,0.47521551724137934,0.2937603533959139,0.48043676069153773,0.5344827586206896,0.8662280701754386,0.4112903225806452,0.529113924050633,0.4444444444444444,0,,1,0.0,2,0.0,6,0.0,11,0.0,31,0.22580645161290322,43,43,129.97727272727272,1046.159090909091,104,104,96.3953488372093,39.85576923076923
