,year,name,id,age,ioc,height,hand,high_rank,high_pts,tourney_plyd,tourney_win_pct,avg_tourney_level,matches_plyd,match_wins,match_win_pct,finals,titles,final_win_pct,slam_finals,slams,atp_finals_finals,atp_finals,masters_finals,masters,500_finals,500_titles,250_finals,250_titles,olympic_g,aces_per_game,df_per_game,sv_game_win_pct,return_game_win_pct,1st_pct,1st_win_pct,2nd_win_pct,1st_return_win_pct,2nd_return_win_pct,bp_per_game,bp_faced_per_game,bp_conversion_rate,bp_saved_rate,tb_win_pct,no1_faced,no1_win_pct,top_5_faced,top_5_win_pct,top_10_faced,top_10_win_pct,top_20_faced,top_20_win_pct,top_50_faced,top_50_win_pct,top_100_faced,top_100_win_pct,matches_w_stats,matches_w_minutes,avg_opponent_rank,avg_opponent_pts,sets_w_stats,sets_w_mins,minutes_per_match,minutes_per_set,year_end_ranking,year_end_points,year_end_ranking_cat
1027,2012,Marco Chiudinelli,103843,31.1,SUI,185.0,R,129.0,416.0,8,0.0,375.0,14,4,0.2857142857142857,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.24031007751937986,0.2558139534883721,0.7751937984496124,0.1297709923664122,0.6105263157894737,0.6896551724137931,0.5045045045045045,0.2695984703632887,0.4281437125748503,0.5343511450381679,0.5968992248062015,0.24285714285714285,0.6233766233766234,0.16666666666666666,0,,1,0.0,2,0.0,4,0.0,7,0.2857142857142857,9,0.3333333333333333,12,12,63.92857142857143,1526.857142857143,26,26,104.75,48.34615384615385,146,380.0,>100
1028,2012,Marcos Baghdatis,104571,27.3,CYP,183.0,R,32.0,1150.0,25,0.0,850.0,60,35,0.5833333333333334,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.5532846715328467,0.2686131386861314,0.8058394160583942,0.22852983988355166,0.5479295355753832,0.734446764091858,0.5268218623481782,0.2943382077240345,0.4965947786606129,0.5618631732168851,0.48905109489051096,0.4067357512953368,0.6029850746268657,0.5652173913043478,1,0.0,5,0.0,9,0.1111111111111111,18,0.2222222222222222,33,0.42424242424242425,51,0.5490196078431373,58,58,84.71666666666667,1743.6166666666666,143,143,103.65517241379311,42.04195804195804,36,1070.0,top100
1029,2012,Mardy Fish,103888,30.7,USA,188.0,R,8.0,2965.0,12,0.0,979.1666666666666,33,21,0.6363636363636364,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.7757731958762887,0.20103092783505155,0.8505154639175257,0.24479166666666666,0.5313021702838063,0.7784760408483896,0.5494211932324132,0.3144611186903138,0.5060240963855421,0.5520833333333334,0.4381443298969072,0.44339622641509435,0.6588235294117647,0.5,2,0.0,2,0.0,4,0.25,6,0.5,17,0.5882352941176471,28,0.6428571428571429,31,31,65.48484848484848,1758.030303030303,82,82,115.29032258064517,43.58536585365854,27,1255.0,top32
1030,2012,Marin Cilic,105227,24.0,CRO,198.0,R,13.0,2455.0,20,0.1,950.0,58,39,0.6724137931034483,3,2,0.6666666666666666,0,0,0,0,0,0,0,0,3,2,0,0.5101156069364162,0.21676300578034682,0.8063583815028902,0.2677514792899408,0.551094890510949,0.7235099337748344,0.5320121951219512,0.32444124008651765,0.5230303030303031,0.6405325443786982,0.4754335260115607,0.418013856812933,0.5927051671732523,0.42857142857142855,1,0.0,4,0.0,9,0.1111111111111111,14,0.21428571428571427,31,0.5483870967741935,45,0.6444444444444445,56,56,59.724137931034484,1681.4310344827586,142,142,114.58928571428571,45.190140845070424,15,2210.0,top32
1031,2012,Marinko Matosevic,104594,27.2,AUS,194.0,R,51.0,808.0,19,0.0,723.6842105263158,36,17,0.4722222222222222,1,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0.3713592233009709,0.21601941747572814,0.7597087378640777,0.2019704433497537,0.6240574506283663,0.6588032220943614,0.49665711556829034,0.27899484536082475,0.4959266802443992,0.47044334975369456,0.6893203883495146,0.4293193717277487,0.6514084507042254,0.42857142857142855,0,,0,,2,0.0,6,0.16666666666666666,15,0.3333333333333333,26,0.38461538461538464,35,35,90.44444444444444,946.9444444444445,87,87,105.91428571428571,42.60919540229885,49,845.0,top100
1032,2012,Marius Copil,105657,21.9,ROU,193.0,R,178.0,281.0,3,0.0,333.3333333333333,8,4,0.5,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.9701492537313433,0.16417910447761194,0.8208955223880597,0.18181818181818182,0.6142506142506142,0.772,0.49044585987261147,0.3029045643153527,0.4418604651162791,0.45454545454545453,0.47761194029850745,0.4,0.625,0.3333333333333333,0,,0,,0,,2,0.5,4,0.25,6,0.3333333333333333,6,6,85.75,1154.0,14,14,94.16666666666667,40.357142857142854,160,347.0,>100
1033,2012,Marsel Ilhan,104947,24.8,TUR,190.0,R,108.0,513.0,3,0.0,333.3333333333333,7,3,0.42857142857142855,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.2571428571428571,0.11428571428571428,0.8,0.08571428571428572,0.6785714285714286,0.6666666666666666,0.5185185185185185,0.2534246575342466,0.4691358024691358,0.37142857142857144,0.7714285714285715,0.23076923076923078,0.7407407407407407,0.5,0,,0,,0,,0,,1,0.0,2,0.0,3,3,309.2857142857143,401.14285714285717,7,7,108.66666666666667,46.57142857142857,215,222.0,>100
1034,2012,Martin Klizan,105373,23.2,SVK,190.0,L,29.0,1193.0,15,0.06666666666666667,833.3333333333334,34,19,0.5588235294117647,1,1,1.0,0,0,0,0,0,0,0,0,1,1,0,0.30727762803234504,0.2776280323450135,0.7466307277628033,0.2789473684210526,0.562396694214876,0.698016164584864,0.5033050047214354,0.2941988950276243,0.5374625374625375,0.6210526315789474,0.6657681940700808,0.4491525423728814,0.6194331983805668,0.38461538461538464,0,,0,,2,0.5,5,0.2,15,0.3333333333333333,21,0.47619047619047616,30,30,105.73529411764706,1009.7941176470588,79,79,114.96666666666667,43.65822784810127,30,1175.0,top32
1035,2012,Marton Fucsovics,105916,20.1,HUN,188.0,R,544.0,53.0,1,0.0,250.0,5,2,0.4,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.6,0.13333333333333333,0.9333333333333333,0.06666666666666667,0.5229357798165137,0.7543859649122807,0.5576923076923077,0.2830188679245283,0.39622641509433965,0.4666666666666667,0.4,0.14285714285714285,0.8333333333333334,0.16666666666666666,0,,0,,0,,0,,0,,2,0.5,1,1,320.0,316.2,3,3,144.0,48.0,440,83.0,>100
1036,2012,Matthew Ebden,105051,24.9,AUS,188.0,R,61.0,723.0,23,0.0,684.7826086956521,40,17,0.425,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.45274725274725275,0.3384615384615385,0.7318681318681319,0.18763796909492272,0.623237071860309,0.693426724137931,0.4572192513368984,0.27765237020316025,0.4886164623467601,0.5540838852097131,0.654945054945055,0.3386454183266932,0.5906040268456376,0.6666666666666666,0,,0,,1,1.0,4,0.25,16,0.1875,30,0.26666666666666666,38,38,124.15,944.725,98,98,102.44736842105263,39.724489795918366,105,529.0,>100
